"unit","age","ord_brth","geo","time","values","perc","countryname","region"
"NR",16,"1","AT",2018,66,0.2,"Austria","Western Europe"
"NR",16,"1","BE",2018,103,0.2,"Belgium","Western Europe"
"NR",16,"1","BG",2018,806,2.6,"Bulgaria","Eastern Europe"
"NR",16,"1","CZ",2018,194,0.4,"Czechia","Eastern Europe"
"NR",16,"1","EE",2018,17,0.3,"Estonia","Eastern Europe"
"NR",16,"1","EL",2018,226,0.6,"Greece","Southern Europe"
"NR",16,"1","ES",2018,584,0.3,"Spain","Southern Europe"
"NR",16,"1","HU",2018,550,1.3,"Hungary","Eastern Europe"
"NR",16,"1","NL",2018,53,0.1,"Netherlands","Western Europe"
"NR",16,"1","PL",2018,526,0.3,"Poland","Eastern Europe"
"NR",16,"1","PT",2018,176,0.4,"Portugal","Southern Europe"
"NR",16,"1","RO",2018,2262,2.1,"Roumania","Eastern Europe"
"NR",17,"1","AT",2018,149,0.4,"Austria","Western Europe"
"NR",17,"1","BE",2018,235,0.5,"Belgium","Western Europe"
"NR",17,"1","BG",2018,988,3.2,"Bulgaria","Eastern Europe"
"NR",17,"1","CZ",2018,317,0.6,"Czechia","Eastern Europe"
"NR",17,"1","EE",2018,38,0.7,"Estonia","Eastern Europe"
"NR",17,"1","EL",2018,246,0.6,"Greece","Southern Europe"
"NR",17,"1","ES",2018,1055,0.6,"Spain","Southern Europe"
"NR",17,"1","HU",2018,908,2.2,"Hungary","Eastern Europe"
"NR",17,"1","NL",2018,157,0.2,"Netherlands","Western Europe"
"NR",17,"1","PL",2018,1295,0.8,"Poland","Eastern Europe"
"NR",17,"1","PT",2018,307,0.7,"Portugal","Southern Europe"
"NR",17,"1","RO",2018,2912,2.7,"Roumania","Eastern Europe"
"NR",18,"1","AT",2018,259,0.6,"Austria","Western Europe"
"NR",18,"1","BE",2018,374,0.7,"Belgium","Western Europe"
"NR",18,"1","BG",2018,1012,3.3,"Bulgaria","Eastern Europe"
"NR",18,"1","CZ",2018,578,1.1,"Czechia","Eastern Europe"
"NR",18,"1","EE",2018,66,1.3,"Estonia","Eastern Europe"
"NR",18,"1","EL",2018,348,0.9,"Greece","Southern Europe"
"NR",18,"1","ES",2018,1770,1,"Spain","Southern Europe"
"NR",18,"1","HU",2018,1100,2.7,"Hungary","Eastern Europe"
"NR",18,"1","NL",2018,331,0.4,"Netherlands","Western Europe"
"NR",18,"1","PL",2018,2435,1.5,"Poland","Eastern Europe"
"NR",18,"1","PT",2018,474,1.1,"Portugal","Southern Europe"
"NR",18,"1","RO",2018,3515,3.3,"Roumania","Eastern Europe"
"NR",19,"1","AT",2018,521,1.3,"Austria","Western Europe"
"NR",19,"1","BE",2018,690,1.4,"Belgium","Western Europe"
"NR",19,"1","BG",2018,980,3.2,"Bulgaria","Eastern Europe"
"NR",19,"1","CZ",2018,886,1.6,"Czechia","Eastern Europe"
"NR",19,"1","EE",2018,128,2.4,"Estonia","Eastern Europe"
"NR",19,"1","EL",2018,483,1.2,"Greece","Southern Europe"
"NR",19,"1","ES",2018,2337,1.3,"Spain","Southern Europe"
"NR",19,"1","HU",2018,1141,2.8,"Hungary","Eastern Europe"
"NR",19,"1","NL",2018,632,0.8,"Netherlands","Western Europe"
"NR",19,"1","PL",2018,3808,2.3,"Poland","Eastern Europe"
"NR",19,"1","PT",2018,779,1.8,"Portugal","Southern Europe"
"NR",19,"1","RO",2018,3779,3.5,"Roumania","Eastern Europe"
"NR",20,"1","AT",2018,758,1.9,"Austria","Western Europe"
"NR",20,"1","BE",2018,860,1.7,"Belgium","Western Europe"
"NR",20,"1","BG",2018,901,3,"Bulgaria","Eastern Europe"
"NR",20,"1","CZ",2018,1105,2,"Czechia","Eastern Europe"
"NR",20,"1","EE",2018,144,2.7,"Estonia","Eastern Europe"
"NR",20,"1","EL",2018,613,1.5,"Greece","Southern Europe"
"NR",20,"1","ES",2018,2891,1.6,"Spain","Southern Europe"
"NR",20,"1","HU",2018,1199,2.9,"Hungary","Eastern Europe"
"NR",20,"1","NL",2018,893,1.2,"Netherlands","Western Europe"
"NR",20,"1","PL",2018,4865,2.9,"Poland","Eastern Europe"
"NR",20,"1","PT",2018,962,2.2,"Portugal","Southern Europe"
"NR",20,"1","RO",2018,4047,3.8,"Roumania","Eastern Europe"
"NR",21,"1","AT",2018,1023,2.5,"Austria","Western Europe"
"NR",21,"1","BE",2018,1084,2.2,"Belgium","Western Europe"
"NR",21,"1","BG",2018,1059,3.5,"Bulgaria","Eastern Europe"
"NR",21,"1","CZ",2018,1380,2.5,"Czechia","Eastern Europe"
"NR",21,"1","EE",2018,176,3.3,"Estonia","Eastern Europe"
"NR",21,"1","EL",2018,711,1.8,"Greece","Southern Europe"
"NR",21,"1","ES",2018,3243,1.8,"Spain","Southern Europe"
"NR",21,"1","HU",2018,1218,3,"Hungary","Eastern Europe"
"NR",21,"1","NL",2018,1219,1.6,"Netherlands","Western Europe"
"NR",21,"1","PL",2018,5887,3.6,"Poland","Eastern Europe"
"NR",21,"1","PT",2018,1116,2.5,"Portugal","Southern Europe"
"NR",21,"1","RO",2018,4038,3.8,"Roumania","Eastern Europe"
"NR",22,"1","AT",2018,1329,3.3,"Austria","Western Europe"
"NR",22,"1","BE",2018,1507,3,"Belgium","Western Europe"
"NR",22,"1","BG",2018,1234,4.1,"Bulgaria","Eastern Europe"
"NR",22,"1","CZ",2018,1674,3.1,"Czechia","Eastern Europe"
"NR",22,"1","EE",2018,185,3.5,"Estonia","Eastern Europe"
"NR",22,"1","EL",2018,817,2,"Greece","Southern Europe"
"NR",22,"1","ES",2018,3555,2,"Spain","Southern Europe"
"NR",22,"1","HU",2018,1283,3.1,"Hungary","Eastern Europe"
"NR",22,"1","NL",2018,1771,2.3,"Netherlands","Western Europe"
"NR",22,"1","PL",2018,6723,4.1,"Poland","Eastern Europe"
"NR",22,"1","PT",2018,1301,2.9,"Portugal","Southern Europe"
"NR",22,"1","RO",2018,4463,4.2,"Roumania","Eastern Europe"
"NR",23,"1","AT",2018,1621,4,"Austria","Western Europe"
"NR",23,"1","BE",2018,1818,3.6,"Belgium","Western Europe"
"NR",23,"1","BG",2018,1311,4.3,"Bulgaria","Eastern Europe"
"NR",23,"1","CZ",2018,1941,3.5,"Czechia","Eastern Europe"
"NR",23,"1","EE",2018,232,4.4,"Estonia","Eastern Europe"
"NR",23,"1","EL",2018,1034,2.6,"Greece","Southern Europe"
